id,created_at,text
8.51E+17,09-04-17 10:50,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @JChakraverty @cape @fundinglondon
8.51E+17,09-04-17 10:51,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @UKBAngels @SyndicateRoom @eileentso
8.51E+17,09-04-17 10:53,Great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @AnnaBoffetta @SimonJCalver @DannyLopez_UK
8.51E+17,09-04-17 10:54,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @AmadeusCapital @manishmadhvani
8.51E+17,09-04-17 10:58,Great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ Karen @beringea & Philippe @CreditSuisse
8.51E+17,09-04-17 11:00,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ Jeff @Seedrs @sibelsham @ParisPetgrave
8.51E+17,09-04-17 11:01,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @JdR_Tech @debusultan @MischaDohler
8.51E+17,09-04-17 11:02,Great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @DanielKorski @OliBarrett @michaelhayman
8.51E+17,09-04-17 11:02,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … including John Zai @Cocoon_Networks
8.51E+17,10-04-17 15:45,If you haven't done so already get your tickets for the @TechLondonAdv #investorshowcase 11th May @hereeast #UKtech @rareseedcapitalhttps://twitter.com/RussShaw1/status/851027005067976704 …
8.52E+17,11-04-17 18:45,It's been a successful 1st day for @carinageek & @geekzoniasteve down at @VRWorldCongress! Excited for tomorrows #InvestorShowcase pitch #VRpic.twitter.com/XLqMr2RvuD
8.52E+17,12-04-17 10:20,On the panel for @VRWorldCongress #investorshowcase #VRWC17 -- look forward to hearing the pitches!pic.twitter.com/7hAfG1XDh2
8.52E+17,13-04-17 8:22,Sign up now for the largest @TechLondonAdv event #investorshowcase @GotoGrow_London @SVC2UK @TLA_Scaleup https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021?utm-medium=discovery&utm-campaign=social&utm-content=attendeeshare&aff=estw&utm-source=tw&utm-term=listing …
8.55E+17,20-04-17 5:31,Speakers Announced for .@TechLondonAdv #InvestorShowcase 11th May: http://mailchi.mp/dfd736c9857d/tla-investor-showcase-speakers-announced-for-11th-may-event?e=d88a8687e9 …  Three weeks to go...please register
8.55E+17,20-04-17 5:33,.@TechLondonAdv:  your email announcing speakers for 11th May #InvestorShowcase is in your inbox @TLAWomeninTech @TLAFintech @TLA_China
8.55E+17,20-04-17 5:33,.@TechLondonAdv:  your email announcing speakers for 11th May #InvestorShowcase is in your inbox @TLA_RetailTech @TLA_Scaleup @TLA_CreaTech
8.58E+17,28-04-17 14:29,Hello .@TechLondonAdv: Your April update is in your inbox...please complete the survey for the #InvestorShowcase
8.62E+17,09-05-17 6:59,Make sure u head over to @hereeast @TechLondonAdv #investorShowcase #May11 http://bit.ly/2orD790  as  go to #tech event in #LDN this week
8.62E+17,09-05-17 10:48,"Excited to visit @TechLondonAdv with @mrleesnoodles @DamienleeLee @xszamankax #investorShowcase @RussShaw1 @GlobalTechAdv @hereeast
#tech"
8.62E+17,09-05-17 10:50,See you on Thursday with @mrleesnoodles @DamienleeLee @xszamankax @TechLondonAdv #investorShowcase @RussShaw1 @GlobalTechAdv @hereeast
8.62E+17,09-05-17 13:00,Tech London Advocates @TechLondonAdv  presents  #InvestorShowcase https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021by … led by @RussShaw1 including  @rareseedcapital
8.62E+17,10-05-17 10:06,Looking forward to meeting London's tech ecosystem tomorrow! @InvestorShowcase @hereeast #Investorshowcase #TLApic.twitter.com/2G65gTJT19
8.62E+17,10-05-17 10:16,"""Is #Macron a threat to London tech dominance?"" @RussShaw1 speaks to @JamieNimmo63 ahead of the #InvestorShowcase https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 …"
8.62E+17,10-05-17 13:22,"@joonian Hi Joon, will we see you at tomorrow's #InvestorShowcase? https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 …"
8.62E+17,10-05-17 13:55,Looking forward to the @TechLondonAdv #Investorshowcase @HereEast tomorrow. Find out how we are planning to take the pain out of #pensions.
8.62E+17,10-05-17 17:27,We have a 50:50 gender breakdown for speakers at our #InvestorShowcase event tomorrow :)
8.62E+17,10-05-17 21:24,Early start tomorrow (5:30am!) with @mrleesnoodles for the @TechLondonAdv‘s #InvestorShowcase. Hope to see you  @HereEast #LondonTech 
